id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-12-12T08:43:20;Loop;CANCELLED;PAYPAL;2022-12-12T03:03:45;22604
2;calculating;2022-12-12T09:11:43;haptic 1080p;ISSUED;PAYPAL;2022-12-11T20:25:23;10489
3;national Frozen Berkshire;2022-12-12T09:26:33;Account Borders Home;PAID;CREDIT_CARD;2022-12-12T00:09:24;36325
4;monitor;2022-12-11T19:29:09;parse intuitive Division;CANCELLED;PAYPAL;2022-12-11T21:04:10;13687
5;synergy transmitting;2022-12-11T19:31:24;parse Gloves;ISSUED;PAYPAL;2022-12-12T04:08:02;92472
6;function;2022-12-12T00:24:52;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-12-12T11:31:53;26944
7;Maine;2022-12-12T10:51:15;RAM;ISSUED;PAYPAL;2022-12-12T15:53:07;32458
8;Analyst Agent;2022-12-12T14:45:57;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2022-12-12T11:47:39;79389
9;Salad;2022-12-11T20:54:39;Gorgeous;ISSUED;CREDIT_CARD;2022-12-12T05:41:03;62169
10;Pants Wooden Intuitive;2022-12-12T06:18:36;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-12-12T02:13:13;58737
