id;tracking_code;date;details;invoice_id
1;Mouse Villages;2022-12-12T01:09:44;unleash integrate;1
2;Gloves Account Belarussian;2022-12-12T11:10:05;Orchestrator Stravenue;2
3;Gorgeous Checking;2022-12-11T16:28:37;SSL zero;3
4;user-facing turquoise;2022-12-12T06:18:45;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2022-12-11T17:46:38;Viaduct Bedfordshire;5
6;Shoes Avon;2022-12-12T13:08:11;Lilangeni;6
7;Music Handmade;2022-12-11T22:45:49;Estate red;7
8;Officer mobile Specialist;2022-12-12T08:35:52;system;8
9;bypass;2022-12-12T14:08:10;Streamlined;9
10;invoice Quality-focused hack;2022-12-11T18:28:59;wireless Borders;10
