id;placed_date;status;code;invoice_id;customer_id
1;2022-12-12T08:12:36;COMPLETED;Electronics;57858;1
2;2022-12-12T11:50:36;CANCELLED;withdrawal virtual;42917;2
3;2022-12-11T18:52:56;COMPLETED;compress Soft cross-platform;960;1
4;2022-12-12T05:02:28;COMPLETED;Expanded;88753;1
5;2022-12-12T01:10:38;CANCELLED;Hat;10576;1
6;2022-12-12T01:49:24;PENDING;Regional harness Holy;55347;1
7;2022-12-11T17:50:11;COMPLETED;Decentralized Visionary;88231;2
8;2022-12-11T20:09:10;COMPLETED;Credit Soft Cotton;23331;1
9;2022-12-11T23:37:36;PENDING;Implemented;30578;1
10;2022-12-12T11:49:29;PENDING;solution protocol;72463;2
